month,month_last_day,month_filings,avg_filings,percentage_diff
Jan-20,,14106,14110.5,0.999681089
Feb-20,,13222,12481.5,1.059327805
Mar-20,,8255,11419,0.722917944
Apr-20,,1112,11789,0.094325218
May-20,,1071,12149,0.088155404
Jun-20,,2002,12804,0.156357388
Jul-20,,2096,13154,0.159343166
Aug-20,,3942,13083,0.30130704
Sep-20,,6700,12539,0.534332881
Oct-20,,6634,12791,0.518645923
Nov-20,,7492,11640.5,0.643614965
Dec-20,,7741,12102,0.639646339
Jan-21,,7741,14110.5,0.548598561
Feb-21,,6793,12375.5,0.548907115
Mar-21,,6954,11419,0.608985025
Apr-21,,5915,11789,0.501738909
May-21,,5697,12149,0.468927484
Jun-21,,6966,12804,0.544048735
Jul-21,,7633,13154,0.580279763
Aug-21,,8414,13083,0.643124666
Sep-21,,10056,12539,0.801977829
Oct-21,,10360,12791,0.809944492
Nov-21,,9308,11640.5,0.799622009
Dec-21,,9509,12102,0.785737895
Jan-22,,11702,14110.5,0.829311506
Feb-22,,10443,12375.5,0.843844693
Mar-22,,10304,11419,0.902355723
Apr-22,,9818,11789,0.832810247
May-22,,11463,12149,0.943534447
Jun-22,,11326,12804,0.884567323
Jul-22,,12657,13154,0.962216816
Aug-22,,13749,13083,1.050905756
Sep-22,,13187,12539,1.051678762
Oct-22,,13681,12791,1.069580174
Nov-22,,11883,11640.5,1.020832438
Dec-22,,12184,12102,1.00677574
Jan-23,,14591,14110.5,1.034052656
Feb-23,,13261,12375.5,1.071552665
Mar-23,,11879,11419,1.040283738
Apr-23,,12034,11789,1.020782085
May-23,,12135,12149,0.998847642
Jun-23,,12553,12804,0.980396751
Jul-23,,14169,13154,1.07716284
Aug-23,,13575,13083,1.037606054
Sep-23,,12822,12539,1.022569583
Oct-23,,13514,12791,1.056524119
Nov-23,,12250,11640.5,1.052360294
Dec-23,,12514,12102,1.03404396
Jan-24,,13635,14110.5,0.96630169
Feb-24,,11715,12481.5,0.938589112
Mar-24,,10964,11419,0.960154129
Apr-24,,11545,11789,0.97930274
May-24,,12167,12149,1.001481603
Jun-24,,13066,12804,1.020462356
Jul-24,,12145,13154,0.923293295
Aug-24,,12593,13083,0.962546816
Sep-24,,12283,12539,0.979583699
Oct-24,,12075,12791,0.944023141
Nov-24,,11034,11640.5,0.947897427
Dec-24,,11693,12102,0.966203933
Jan-25,,13445,14110.5,0.95283654
Feb-25,,12659,12375.5,1.022908165
Mar-25,,10129,11419,0.887030388
Apr-25,,10595,11789,0.898719145
May-25,,10625,12149,0.874557577
Jun-25,,13344,12804,1.042174321
Jul-25,,12663,13154,0.962672951
Aug-25,,11892,13083,0.908965834
Sep-25,,12297,12539,0.980700215
Oct-25,,13303,12791,1.040028145
Nov-25,,10986,11640.5,0.943773893
Dec-25,,12392,12102,1.023962981
Jan-26,,13152,14110.5,0.932071861
Feb-26,,12336,12375.5,0.99680821
