city,month-year,filings,renter_occ_HUs,filing_rate
Atlanta,20-Jan,14106,567999,2.48%
Atlanta,20-Feb,13222,567999,2.33%
Atlanta,20-Mar,8255,567999,1.45%
Atlanta,20-Apr,1112,567999,0.20%
Atlanta,20-May,1071,567999,0.19%
Atlanta,20-Jun,2002,567999,0.35%
Atlanta,20-Jul,2096,567999,0.37%
Atlanta,20-Aug,3942,567999,0.69%
Atlanta,20-Sep,6700,567999,1.18%
Atlanta,20-Oct,6634,567999,1.17%
Atlanta,20-Nov,7492,567999,1.32%
Atlanta,20-Dec,7741,567999,1.36%
Atlanta,21-Jan,7741,567999,1.36%
Atlanta,21-Feb,6793,567999,1.20%
Atlanta,21-Mar,6954,567999,1.22%
Atlanta,21-Apr,5915,567999,1.04%
Atlanta,21-May,5697,567999,1.00%
Atlanta,21-Jun,6966,567999,1.23%
Atlanta,21-Jul,7633,567999,1.34%
Atlanta,21-Aug,8414,567999,1.48%
Atlanta,21-Sep,10056,567999,1.77%
Atlanta,21-Oct,10360,567999,1.82%
Atlanta,21-Nov,9308,567999,1.64%
Atlanta,21-Dec,9509,567999,1.67%
Atlanta,22-Jan,11702,578489,2.02%
Atlanta,22-Feb,10443,578489,1.81%
Atlanta,22-Mar,10304,578489,1.78%
Atlanta,22-Apr,9818,578489,1.70%
Atlanta,22-May,11463,578489,1.98%
Atlanta,22-Jun,11326,578489,1.96%
Atlanta,22-Jul,12657,578489,2.19%
Atlanta,22-Aug,13749,578489,2.38%
Atlanta,22-Sep,13187,578489,2.28%
Atlanta,22-Oct,13681,578489,2.36%
Atlanta,22-Nov,11883,578489,2.05%
Atlanta,22-Dec,12184,578489,2.11%
Atlanta,23-Jan,14591,572679,2.55%
Atlanta,23-Feb,13261,572679,2.32%
Atlanta,23-Mar,11879,572679,2.07%
Atlanta,23-Apr,12034,572679,2.10%
Atlanta,23-May,12135,572679,2.12%
Atlanta,23-Jun,12553,572679,2.19%
Atlanta,23-Jul,14169,572679,2.47%
Atlanta,23-Aug,13575,572679,2.37%
Atlanta,23-Sep,12822,572679,2.24%
Atlanta,23-Oct,13514,572679,2.36%
Atlanta,23-Nov,12250,572679,2.14%
Atlanta,23-Dec,12514,572679,2.19%
Atlanta,24-Jan,13635,592742,2.30%
Atlanta,24-Feb,11715,592742,1.98%
Atlanta,24-Mar,10964,592742,1.85%
Atlanta,24-Apr,11545,592742,1.95%
Atlanta,24-May,12167,592742,2.05%
Atlanta,24-Jun,13066,592742,2.20%
Atlanta,24-Jul,12145,592742,2.05%
Atlanta,24-Aug,12593,592742,2.12%
Atlanta,24-Sep,12283,592742,2.07%
Atlanta,24-Oct,12075,592742,2.04%
Atlanta,24-Nov,11034,592742,1.86%
Atlanta,24-Dec,11693,592742,1.97%
Atlanta,25-Jan,13445,592742,2.27%
Atlanta,25-Feb,12659,592742,2.14%
Atlanta,25-Mar,10129,592742,1.71%
Atlanta,25-Apr,10595,592742,1.79%
Atlanta,25-May,10625,592742,1.79%
Atlanta,25-Jun,13344,592742,2.25%
Atlanta,25-Jul,12663,592742,2.14%
Atlanta,25-Aug,11892,592742,2.01%
Atlanta,25-Sep,12297,592742,2.07%
Atlanta,25-Oct,13303,592742,2.24%
Atlanta,25-Nov,10986,592742,1.85%
Atlanta,25-Dec,12392,592742,2.09%
Atlanta,26-Jan,13152,592742,2.22%
Atlanta,26-Feb,12336,592742,2.08%
Cincinnati,20-Jan,1143,143075,0.80%
Cincinnati,20-Feb,887,143075,0.62%
Cincinnati,20-Mar,527,143075,0.37%
Cincinnati,20-Apr,239,143075,0.17%
Cincinnati,20-May,328,143075,0.23%
Cincinnati,20-Jun,379,143075,0.26%
Cincinnati,20-Jul,533,143075,0.37%
Cincinnati,20-Aug,736,143075,0.51%
Cincinnati,20-Sep,777,143075,0.54%
Cincinnati,20-Oct,698,143075,0.49%
Cincinnati,20-Nov,709,143075,0.50%
Cincinnati,20-Dec,873,143075,0.61%
Cincinnati,21-Jan,760,143075,0.53%
Cincinnati,21-Feb,662,143075,0.46%
Cincinnati,21-Mar,673,143075,0.47%
Cincinnati,21-Apr,707,143075,0.49%
Cincinnati,21-May,690,143075,0.48%
Cincinnati,21-Jun,898,143075,0.63%
Cincinnati,21-Jul,920,143075,0.64%
Cincinnati,21-Aug,865,143075,0.60%
Cincinnati,21-Sep,980,143075,0.68%
Cincinnati,21-Oct,934,143075,0.65%
Cincinnati,21-Nov,866,143075,0.61%
Cincinnati,21-Dec,960,143075,0.67%
Cincinnati,22-Jan,1038,141429,0.73%
Cincinnati,22-Feb,848,141429,0.60%
Cincinnati,22-Mar,1000,141429,0.71%
Cincinnati,22-Apr,805,141429,0.57%
Cincinnati,22-May,974,141429,0.69%
Cincinnati,22-Jun,1182,141429,0.84%
Cincinnati,22-Jul,1182,141429,0.84%
Cincinnati,22-Aug,1260,141429,0.89%
Cincinnati,22-Sep,1238,141429,0.88%
Cincinnati,22-Oct,1166,141429,0.82%
Cincinnati,22-Nov,1054,141429,0.75%
Cincinnati,22-Dec,1310,141429,0.93%
Cincinnati,23-Jan,972,151115,0.64%
Cincinnati,23-Feb,1115,151115,0.74%
Cincinnati,23-Mar,862,151115,0.57%
Cincinnati,23-Apr,843,151115,0.56%
Cincinnati,23-May,942,151115,0.62%
Cincinnati,23-Jun,1189,151115,0.79%
Cincinnati,23-Jul,1048,151115,0.69%
Cincinnati,23-Aug,1406,151115,0.93%
Cincinnati,23-Sep,1093,151115,0.72%
